BOD,COD,FecalColiform,IP,Class
6.0,20.0,350000.0,5.21,3
8.0,25.5,280000.0,5.33,3
2.0,9.0,79000.0,3.71,2
5.0,28.0,240000.0,4.83,2
3.5,22.0,1600000.0,4.73,2
1.0,10.0,170000.0,4.0,2
5.0,15.0,23000.0,4.1,2
8.0,22.0,79000.0,3.0,2
1.0,9.0,24000.0,1.0,1
5.0,24.6,35000.0,2.9,2
5.7,24.96,18330.0,2.97,2
1.0,8.0,18138.0,1.93,2
5.0,11.0,24000.0,2.45,2
6.7,20.0,35000.0,3.46,2
7.0,14.0,160000.0,3.56,2
2.6,7.0,22000.0,1.7,2
9.0,13.0,4900.0,1.84,2
1.0,5.0,780.0,1.65,2
2.0,18.0,33000.0,3.75,2
12.0,24.5,4500.0,2.57,2
2.0,8.0,7900.0,3.79,2
5.0,18.0,54000.0,3.67,2
9.0,28.0,240000.0,4.34,2
2.0,24.0,200.0,0.74,1
1.3,10.7,762594.0,5.08,3
6.9,7.0,760030.0,4.03,2
1.0,25.4,409310.0,5.31,3
6.3,5.6,802933.0,5.9,3
1.6,10.6,822132.0,4.5,2
4.2,20.1,104273.0,3.26,2
8.9,3.1,839561.0,6.21,3
4.1,12.3,307813.0,4.5,2
2.6,12.3,109622.0,4.31,2
8.0,14.8,165058.0,3.27,2
1.2,8.1,638240.0,3.98,2
8.3,1.9,481469.0,3.28,2
3.4,1.4,196152.0,3.44,2
8.2,16.6,935015.0,3.59,2
7.2,14.4,457714.0,4.42,2
2.2,3.7,523011.0,5.44,3
5.1,9.1,117739.0,3.07,2
5.0,16.2,901736.0,4.81,2
2.1,3.7,231559.0,3.14,2
6.3,23.4,867281.0,3.35,2
8.0,19.7,376725.0,3.31,2
6.9,8.1,679924.0,2.2,2
4.9,4.6,308979.0,1.18,2
4.0,25.6,73799.0,1.72,2
3.8,23.3,436375.0,1.73,2
8.6,25.8,532787.0,2.68,2
8.8,24.9,538772.0,15.05,4
6.9,27.7,731790.0,10.46,4
3.0,11.3,232813.0,11.0,4
2.06,25.67,2427.0,7.8,3
2.0,38.5,2500.0,7.5,3
2.25,47.48,1872.0,7.3,3
2.57,69.29,1585.0,7.9,3
2.13,63.52,2400.0,7.87,3
2.02,61.59,2510.0,7.59,3
2.06,62.88,1772.0,7.3,3
2.29,76.99,1532.0,7.89,3
2.09,25.66,1095.0,2.3,2
2.9,21.82,1453.0,2.4,2
2.56,24.38,1382.0,2.5,2
2.17,20.53,1257.0,2.5,2
3.22,6.42,2894.0,2.65,2
3.57,35.93,1570.0,2.3,2
4.01,16.68,2300.0,2.4,2
4.0,30.79,1858.0,2.5,2
3.95,35.93,1913.0,2.5,2
4.52,19.25,2508.0,2.66,2
3.21,20.82,1436.0,2.2,2
2.48,19.25,2415.0,2.4,2
2.55,21.82,1733.0,2.7,2
2.71,24.38,2427.0,1.99,2
2.01,24.25,733.0,2.05,2
2.06,75.07,1510.0,2.29,2
2.03,15.39,2489.0,2.41,2
2.03,17.97,1727.0,2.69,2
2.02,20.53,2489.0,1.99,2
2.2,24.38,1063.0,2.05,2
