E.Colli,Coliform,Arsen,Kromium,Kadmium ,Nitrit,Nitrat,Sianida,Selenium,Alumunium,Besi,Kesadahan,Klorida,Mangan,pH,Seng,Sulfat,Tembaga,Amonia,Chlor,BOD5,COD,Bau,Warna,Kekeruhan,Rasa ,Suhu,TDS,Potabilitas
0,0,0.000235,0.00668,0.00072,0.0038,0.19,0.0030,0.00616,0.009,0.046,60.90,12.85,0.033,7.56,0.012,24.42,0.009,0.0102,0.67,2.00,6.4736,Tidak Berbau,5,1.09,Tidak Berasa,21.9,54.9,1
1.1,1.1,0.0065,0.00668,0.00072,0.0417,2.2643,0.0030,0.0030,0.01986,0.02977,86.00,7.15,0.08258,6.65,1.85552,17.1564,0.24212,0.0102,0.85,2.00,6.4736,Tidak Berbau,5,0.61,Tidak Berasa,22.2,64.2,1
1.1,1.1,0.000235,0.00668,0.00072,0.06,4.59,0.0030,0.00616,0.005,0.09,42.42,12.15,0.025,6.68,0.04,7.18,0.01,0.0102,1.00,2.00,6.4736,Tidak Berbau,5,0.25,Tidak Berasa,22.7,51.4,1
0,0,0.000235,0.00668,0.00072,0.68,0.83,0.0030,0.00616,0.006,0.032,63.36,9.65,0.042,7.13,0.011,18.21,0.009,0.0102,0.34,2.00,6.4736,Tidak Berbau,5,1.99,Tidak Berasa,22.3,74.0,1
0,0,0.295,0.000941,0.000200,0.0066,7.5,0.005,0.00617,0.1,0.0298,192,29,0.007976,7.5,0.007976,76,0.03,0.14,1,"1,00","5,9138",Tidak Berbau,5.1,0.5,Tidak Berasa,24,367,1
0,0,0.22,0.000941,0.000200,0.0066,8.03,0.004,0.00618,0.07,0.0298,194,250,0.007976,7.1,0.001,81,0.03,0.24,1,"1,59","5,6049",Tidak Berbau,9.2,0.4,Tidak Berasa,24,315,1
0,0,0.25,0.000941,0.000200,0.007,7.3,0.003,0.00619,0.09,0.0298,196,29,0.007976,7.5,0.001,77,0.03,0.204,0.8,"0,45","4,5695",Tidak Berbau,5.1,0.4,Tidak Berasa,25,314,1
0,0,0.27,0.000942,0.000202,0.02,13,0.002,0.00620,0.1,0.1160,149,26,0.008053,7.2,0.003,34,0.002639,0.31,1,"0,97","3,9167",Tidak Berbau,2.1,1.2,Tidak Berasa,29,227,1
0,0,0.18,0.000942,0.000202,0.0111,13,0.001,0.00621,0.05,0.1160,153,25,0.02,7.2,0.000235,40,0.004,0.36,0.42,"1,99","5,6491",Tidak Berbau,2.1,0.8,Tidak Berasa,29,226,1
0,0,0.28,0.000942,0.000202,0.02,13,0.000,0.00622,0.1,0.1160,161,29,0.008053,7.2,0.000235,37,0.002639,0.37,0.99,"0,92","5,3194",Tidak Berbau,2.1,1.2,Tidak Berasa,29,230,1
