"kemendagri_kode
_provinsi
";"kemendagri_nama
_provinsi
";"kemendagri_kode_
kabupaten_kota
kemendagri_kode_
kabupaten_kota
";"kemendagri_nama_
kabupaten_kota
";tahun;Nama_Sungai;Tahap;Lokasi_Sampling;Lintang_Selatan;Bujur_Timur;pH;Suhu_(0C);DHL_(µS/cm);Salinitas_(ppt);Do_(mg/L);TDS_(mg/L);TSS_(mg/L);BOD_(mg/L);COD_(mg/L);Nitrat_(mg/L);Nitrit_(mg/L);Fenol_(µg/L);Sulfida_(mg/L);Sianida_(mg/L);Phospat_(mg/L);MBAS_(µg/L);M&L_(µg/L);NH3N_(mg/L);Klorin_(mg/L);EColi_(MPN/100ml);Coliform_(MPN/100ml);Mercury_(mg/L);Nilai_IP;Status_MutuAir
11;Aceh;11.71;Kota Banda Aceh;2020;Krueng Lamnyong;I;Titik I - Belakang Pasantren Al-Manar Desa Bakoy Kec. Ingin Jaya;05o 31’ 36,4”;095o 22’ 08,0”;7.3;26.4;2880;2891;5.22;2658;30;2.06;25.67;5613;0.03;0.1;<0.001;0.0148;0,5015;104,09;439,2;0,112;0,03;934;2427;;7,879;Cemar Sedang
11;Aceh;11.71;Kota Banda Aceh;2020;Krueng Lamnyong;I;Titik II - Jembatan Cot Iri Kec. Krueng Barona Jaya;05o 32’08,32”;095 22’ 18,6”;7.17;28.7;24110;29.21;4.27;22200;29;2;38.5;5590;0.036;0.1;<0.001;0.0242;0,3036;44,01;447,2;0,435;0,06;857;2500;;7,587;Cemar Sedang
11;Aceh;11.71;Kota Banda Aceh;2020;Krueng Lamnyong;I;Titik III - Jembatan Lamnyong Kec. Syiah Kuala;05o 34’20,29”;095o 21’34,73” ;7.47;27.4;26790;32.99;5.31;24710;26;2.25;47.48;5011;<0.03;0.1;<0.001;0.0157;0,4722;26,85;458,8;0,074;0,02;262;1872;;7,268;Cemar Sedang
11;Aceh;11.71;Kota Banda Aceh;2020;Krueng Lamnyong;I;Titik IV - Jembatan Krueng Cut Desa Tibang Kec. Syiah Kuala;05o 35’ 06,5”;0950 21’ 41,1”;7.58;27.7;36530;47.04;4.9;33690;26;2.57;69.29;3251;<0.03;0.1;<0.001;0.0181;0,2138;44,01;443,2;0,068;0,02;10;1585;;7,89;Cemar Sedang
11;Aceh;11.71;Kota Banda Aceh;2020;Krueng Lamnyong;II;Titik I - Belakang Pasantren Al-Manar Desa Bakoy Kec. Ingin Jaya;05o 31’ 36,4”;095o 22’ 08,0”;6.98;30.4;166;8.11;4.39;8231;31;2.13;63.52;4.3;0.037;<1;<0.01;0.014;0,04;26,85;406,8;0,167;0,01;911;2400;;7,879;Cemar Sedang
11;Aceh;11.71;Kota Banda Aceh;2020;Krueng Lamnyong;II;Titik II - Jembatan Cot Iri  Kec. Krueng Barona Jaya;05o 32’08,32”;095 22’ 18,6”;6.97;30.9;3764;20.5;3.78;18130;30;2.02;61.59;4.52;0.03;<1;<0.01;0.0154;0,26;69,76;407,2;0,269;0,01;855;2510;;7,587;Cemar Sedang
11;Aceh;11.71;Kota Banda Aceh;2020;Krueng Lamnyong;II;Titik III - Jembatan Lamnyong Kec. Syiah Kuala;05o 34’20,29”;095o 21’34,73” ;6.99;30.4;413;22.3;5.35;20190;26;2.06;62.88;4.33;<0.03;<1;<0.01;0.0201;0,19;86,93;411,6;0,17;0,03;265;1772;;7,268;Cemar Sedang
11;Aceh;11.71;Kota Banda Aceh;2020;Krueng Lamnyong;II;Titik IV - Jembatan Krueng Cut Desa Tibang Kec. Syiah Kuala;05o 35’ 06,5”;0950 21’ 41,1”;7;30.7;439;24.4;5.02;21210;25;2.29;76.99;4.48;<0.03;<1;<0.01;0.0189;0,15;215,66;410,8;0,223;0,02;181;1532;;7,89;Cemar Sedang
11;Aceh;11.71;Kota Banda Aceh;2020;Krueng Aceh;I;Titik I - Desa Peunaloy Kec. Seulimum;05o 21’ 8,40”;095o 34’ 33,20”;7.43;27;190.6;0.09;6.21;175;17;2.09;25.66;4.43;<0.03;<1;<0.001;0.0198;0,3;78,34;428,8;0,06;0,02;683;1095;;2,313;Cemar Ringan
11;Aceh;11.71;Kota Banda Aceh;2020;Krueng Aceh;I;Titik II - Jembatan Pasar Indrapuri Kec. Indrapuri;05o 24’ 48,5”;095 26’ 46,6”;7.56;28.2;236;0.11;5.9;217.8;29;2.9;21.82;4.11;<0.03;<1;<0.001;0.0297;0,34;86,93;437,6;0,05;0,01;1018;1453;;2,419;Cemar Ringan
